,name,distance,mass,radius
278,2MASS J00040288-6410358,192,19,1.63
279,LHS 102BC,,,
280,2MASS J00242463-0158201,37.7,79,1.09
281,2MASS J00250365+4759191AB,143,,
282,2MASS J00274197+0503417,236,31,1.44
283,2MASS J00275592+2219328,46.9,,
284,2MASSW J0030300-145033,87.2,54,0.98
285,2MASS J00332386-1521309 [de],131,29,1.43
286,2MASS J00345157+0523050,31,42,0.94
287,2MASS 0036+1821,28.6,42,0.94
288,2MASSW J0045214+163445,57,23,1.62
289,WISEP J004701.06+680352.1 [fr],40,12,1.3
290,2MASS J00501994-3322402 [de],34,40,0.94
291,2MASS J00034227-2822410,,,
292,2MASS J00584253-0651239 [de],96,29,1.43
293,CFBDS J005910.90–011401.3,30,23,
294,2MASSI J0103320+193536,70,52,0.98
295,SDSSp J010752.33+004156.1 [de],51,52,0.98
296,2MASSI J0117474-340325 [de],163,20,1.62
297,2MASS J01415823-4633574 [de],130,20,1.61
298,SDSS J015141.69+124429.6,70,47,0.97
299,DENIS-P J020529.0−115925A,65,,
300,SDSS J000013.54+255418.6 [de],46.1,48,0.99
301,2MASS J08283419-1309198,,,
302,2MASS J00040288-6410358,192,19,1.63
303,LHS 102BC,,,
304,2MASS J00242463-0158201,37.7,79,1.09
305,2MASS J00250365+4759191AB,143,,
306,2MASS J00274197+0503417,236,31,1.44
307,2MASS J00275592+2219328,46.9,,
308,2MASSW J0030300-145033,87.2,54,0.98
309,2MASS J00332386-1521309 [de],131,29,1.43
310,2MASS J00345157+0523050,31,42,0.94
311,2MASS 0036+1821,28.6,42,0.94
312,2MASSW J0045214+163445,57,23,1.62
313,WISEP J004701.06+680352.1 [fr],40,12,1.3
314,2MASS J00501994-3322402 [de],34,40,0.94
315,2MASS J00034227-2822410,,,
316,2MASS J00584253-0651239 [de],96,29,1.43
317,CFBDS J005910.90–011401.3,30,23,
318,2MASSI J0103320+193536,70,52,0.98
319,SDSSp J010752.33+004156.1 [de],51,52,0.98
320,2MASSI J0117474-340325 [de],163,20,1.62
321,2MASS J01415823-4633574 [de],130,20,1.61
322,SDSS J015141.69+124429.6,70,47,0.97
323,DENIS-P J020529.0−115925A,65,,
324,DENIS-P J020529.0−115925B,65,,
325,SDSS J000013.54+255418.6 [de],46.1,48,0.99
326,2MASS J08283419-1309198,,,
327,2MASS J00040288-6410358,192,19,1.63
328,LHS 102BC,,,
329,2MASS J00242463-0158201,37.7,79,1.09
330,2MASS J00250365+4759191AB,143,,
331,2MASS J00274197+0503417,236,31,1.44
332,2MASS J00275592+2219328,46.9,,
333,2MASSW J0030300-145033,87.2,54,0.98
334,2MASS J00332386-1521309 [de],131,29,1.43
335,2MASS J00345157+0523050,31,42,0.94
336,2MASS 0036+1821,28.6,42,0.94
337,2MASSW J0045214+163445,57,23,1.62
338,WISEP J004701.06+680352.1 [fr],40,12,1.3
339,2MASS J00501994-3322402 [de],34,40,0.94
340,2MASS J00034227-2822410,,,
341,2MASS J00584253-0651239 [de],96,29,1.43
342,CFBDS J005910.90–011401.3,30,23,
343,2MASSI J0103320+193536,70,52,0.98
344,SDSSp J010752.33+004156.1 [de],51,52,0.98
345,2MASSI J0117474-340325 [de],163,20,1.62
346,2MASS J01415823-4633574 [de],130,20,1.61
347,SDSS J015141.69+124429.6,70,47,0.97
348,DENIS-P J020529.0−115925A,65,,
349,DENIS-P J020529.0−115925B,65,,
350,DENIS-P J020529.0−115925C,65,,
351,SDSS J000013.54+255418.6 [de],46.1,48,0.99
352,2MASS J08283419-1309198,,,
353,2MASS J00040288-6410358,192,19,1.63
354,LHS 102BC,,,
355,2MASS J00242463-0158201,37.7,79,1.09
356,2MASS J00250365+4759191AB,143,,
357,2MASS J00274197+0503417,236,31,1.44
358,2MASS J00275592+2219328,46.9,,
359,2MASSW J0030300-145033,87.2,54,0.98
360,2MASS J00332386-1521309 [de],131,29,1.43
361,2MASS J00345157+0523050,31,42,0.94
362,2MASS 0036+1821,28.6,42,0.94
363,2MASSW J0045214+163445,57,23,1.62
364,WISEP J004701.06+680352.1 [fr],40,12,1.3
365,2MASS J00501994-3322402 [de],34,40,0.94
366,2MASS J00034227-2822410,,,
367,2MASS J00584253-0651239 [de],96,29,1.43
368,CFBDS J005910.90–011401.3,30,23,
369,2MASSI J0103320+193536,70,52,0.98
370,SDSSp J010752.33+004156.1 [de],51,52,0.98
371,2MASSI J0117474-340325 [de],163,20,1.62
372,2MASS J01415823-4633574 [de],130,20,1.61
373,SDSS J015141.69+124429.6,70,47,0.97
374,DENIS-P J020529.0−115925A,65,,
375,DENIS-P J020529.0−115925B,65,,
376,DENIS-P J020529.0−115925C,65,,
377,SDSS J020742.48+000056.2 [de],111,47,0.97
378,SDSS J000013.54+255418.6 [de],46.1,48,0.99
379,2MASS J08283419-1309198,,,
380,2MASS J00040288-6410358,192,19,1.63
381,LHS 102BC,,,
382,2MASS J00242463-0158201,37.7,79,1.09
383,2MASS J00250365+4759191AB,143,,
384,2MASS J00274197+0503417,236,31,1.44
385,2MASS J00275592+2219328,46.9,,
386,2MASSW J0030300-145033,87.2,54,0.98
387,2MASS J00332386-1521309 [de],131,29,1.43
388,2MASS J00345157+0523050,31,42,0.94
389,2MASS 0036+1821,28.6,42,0.94
390,2MASSW J0045214+163445,57,23,1.62
391,WISEP J004701.06+680352.1 [fr],40,12,1.3
392,2MASS J00501994-3322402 [de],34,40,0.94
393,2MASS J00034227-2822410,,,
394,2MASS J00584253-0651239 [de],96,29,1.43
395,CFBDS J005910.90–011401.3,30,23,
396,2MASSI J0103320+193536,70,52,0.98
397,SDSSp J010752.33+004156.1 [de],51,52,0.98
398,2MASSI J0117474-340325 [de],163,20,1.62
399,2MASS J01415823-4633574 [de],130,20,1.61
400,SDSS J015141.69+124429.6,70,47,0.97
401,DENIS-P J020529.0−115925A,65,,
402,DENIS-P J020529.0−115925B,65,,
403,DENIS-P J020529.0−115925C,65,,
404,SDSS J020742.48+000056.2 [de],111,47,0.97
405,2MASS J02103857-3015313,101,15,1.53
406,SDSS J000013.54+255418.6 [de],46.1,48,0.99
407,2MASS J08283419-1309198,,,
408,2MASS J00040288-6410358,192,19,1.63
409,LHS 102BC,,,
410,2MASS J00242463-0158201,37.7,79,1.09
411,2MASS J00250365+4759191AB,143,,
412,2MASS J00274197+0503417,236,31,1.44
413,2MASS J00275592+2219328,46.9,,
414,2MASSW J0030300-145033,87.2,54,0.98
415,2MASS J00332386-1521309 [de],131,29,1.43
416,2MASS J00345157+0523050,31,42,0.94
417,2MASS 0036+1821,28.6,42,0.94
418,2MASSW J0045214+163445,57,23,1.62
419,WISEP J004701.06+680352.1 [fr],40,12,1.3
420,2MASS J00501994-3322402 [de],34,40,0.94
421,2MASS J00034227-2822410,,,
422,2MASS J00584253-0651239 [de],96,29,1.43
423,CFBDS J005910.90–011401.3,30,23,
424,2MASSI J0103320+193536,70,52,0.98
425,SDSSp J010752.33+004156.1 [de],51,52,0.98
426,2MASSI J0117474-340325 [de],163,20,1.62
427,2MASS J01415823-4633574 [de],130,20,1.61
428,SDSS J015141.69+124429.6,70,47,0.97
429,DENIS-P J020529.0−115925A,65,,
430,DENIS-P J020529.0−115925B,65,,
431,DENIS-P J020529.0−115925C,65,,
432,SDSS J020742.48+000056.2 [de],111,47,0.97
433,2MASS J02103857-3015313,101,15,1.53
434,2MASS J02340093-6442068,155,20,1.62
