,name,distance,mass,radius
33833,2MASS J18283572-4849046,39,45,0.95
33834,LSR J1835+3259,18.5,77,1.07
33835,2MASSW J1841086+311727,138,67,1.01
33836,2MASS J18432213+4040209,46,96,1.22
33837,2MASS J20004841-7523070,105,25,1.88
33838,SDSS J204749.61-071818.3,65,46,0.96
33839,2MASSI J2057540-025230,47,70,1.02
33840,2MASSW J2101154+175658,108,,
33841,2MASSI J2104149-103736,62,69,1.02
33842,PSO J318.5−22,80,6.5,1.53
33843,HB 2124-4228,113,94,1.21
33844,2MASS J21392676+0220226,32.1,46,0.96
33845,2MASS J21481628+4003593,26.3,55,0.99
33846,2MASS J14112131-2119503,,,
33847,2MASSW J2206450-421721,93,22,1.33
33848,2MASSW J2208136+292121,154,27,1.41
33849,2MASSW J2224438-015852,38,61,0.99
33850,2MASS J22282889-4310262,35,42,0.94
33851,2MASS J22373255+3922398,64,73,1.04
33852,2MASSW J2244316+204343,56,12,1.29
33853,2MASS J23224684-3133231,56,24,1.39
33854,2MASS J23225299-6151275,148,17,1.59
33855,2MASS J23515044-2537367,67,88,1.16
33856,2MASSI J2356547-155310,74,80,1.09
33857,WISE 0005+3737,23.2,,
33858,WISE 0008-1739,87.1,,
33859,WISE 0015-4615,48.6,,
33860,WISE 0031-3840,71.8,,
33861,WISE 0032-4946,62.9,,
33862,WISE 0038+2758,36.9,,
33863,WISE 0038+8405,101.8,,
33864,WISE 0040+0900,47.6,,
33865,WISE 0049+0441,62.6,,
33866,WISE 0049+2151,24.1,,
33867,WISE 0106+1518,142.9,,
33868,WISE 0123+4142,67.2,,
33869,WISE 0135+1715,77.3,,
33870,WISE 0138-0322,57.7,,
33871,WISE 0146+4234,20.5,,
33872,WISE 0148-7202,30,,
33873,WISE 0150+3827,61.3,,
33874,WISE 0206+2640,58.4,,
33875,WISE 0221+3842,73.1,,
33876,WISE 0223-2932,47,,
33877,WISE 0226-0211,91,,
33878,WISE 0241-3653,53.8,,
33879,WISE 0245-3450,56.1,,
33880,WISE 0247+3725,57.1,,
33881,WISE 0305+3954,75,,
33882,WISE 0307+2904,82.8,,
33883,WISE 0313+7807,28,,
33884,WISE 0316+4307,106.3,,
33885,WISE 0321-7347,84.8,,
33886,WISE 0323-6025,45.3,,
33887,WISE 0325-3854,51.2,,
33888,WISE 0325+0831,36.5,,
33889,WISE 0333-5856,54.8,,
33890,WISE 0335+4310,45.7,,
33891,WISE 0336-0143,55.4,,
33892,WISE 0350-5658,17.7,,
33893,WISE 0359-5401,19.2,,
33894,WISE 0410+1502,20,6,1.17
33895,WISE 0410+1411,85.8,,
33896,WISE 0413-4750,66.2,,
33897,WISE 0448-1935,69.8,,
33898,WISE 0458+6434A,35.9,15,4.2
33899,WISE 0458+6434B,35.9,10,3.8
33900,WISE 0500-1223,47,,
33901,WISE 0513+0608,44.7,,
33902,WISE 0525+6739,98.2,,
33903,WISE 0528-3308,57.4,,
33904,WISE 0535-7500,47,,
33905,WISE 0539-1034,84.8,,
33906,WISE 0542-1628,50.6,,
33907,WISE 0607+2429,25.4,,
33908,WISE 0611-0410,57.7,,
33909,WISE 0612-4920,95.2,,
33910,WISE 0612-3036,64.9,,
33911,WISE 0614+3912,50.2,,
33912,WISE 0614+0951,51.5,,
33913,WISE 0623-0456,37.5,,
33914,WISE 0625+5646,67.2,,
33915,WISE 0627-1114,37.2,,
33916,WISE 0647-6232,28,,
33917,WISE 0656+4205,54.1,,
33918,WISE 0713-2917,23.2,,
33919,WISE 0723+3403,45.7,,
33920,WISE 0733+7544,78.3,,
33921,WISE 0734-7157,34.9,,
33922,WISE 0744+5628,47.3,,
33923,WISE 0750+2725,51.5,,
33924,WISE 0751-7634,39.1,,
33925,WISE 0759-4904,38.8,,
33926,WISE 0811-8051,32,,
33927,WISE 0812+4021,63.6,,
33928,WISE 0819-0335,46,,
33929,WISE 0821+1443,68.2,,
33930,SDSS J000013.54+255418.6 [de],46.1,48,0.99
33931,2MASS J08283419-1309198,,,
33932,2MASS J00040288-6410358,192,19,1.63
33933,LHS 102BC,,,
33934,2MASS J00242463-0158201,37.7,79,1.09
33935,2MASS J00250365+4759191AB,143,,
33936,2MASS J00274197+0503417,236,31,1.44
33937,2MASS J00275592+2219328,46.9,,
33938,2MASSW J0030300-145033,87.2,54,0.98
33939,2MASS J00332386-1521309 [de],131,29,1.43
33940,2MASS J00345157+0523050,31,42,0.94
33941,2MASS 0036+1821,28.6,42,0.94
33942,2MASSW J0045214+163445,57,23,1.62
33943,WISEP J004701.06+680352.1 [fr],40,12,1.3
33944,2MASS J00501994-3322402 [de],34,40,0.94
33945,2MASS J00034227-2822410,,,
33946,2MASS J00584253-0651239 [de],96,29,1.43
33947,CFBDS J005910.90–011401.3,30,23,
33948,2MASSI J0103320+193536,70,52,0.98
33949,SDSSp J010752.33+004156.1 [de],51,52,0.98
33950,2MASSI J0117474-340325 [de],163,20,1.62
33951,2MASS J01415823-4633574 [de],130,20,1.61
33952,SDSS J015141.69+124429.6,70,47,0.97
33953,DENIS-P J020529.0−115925A,65,,
33954,DENIS-P J020529.0−115925B,65,,
33955,DENIS-P J020529.0−115925C,65,,
33956,SDSS J020742.48+000056.2 [de],111,47,0.97
33957,2MASS J02103857-3015313,101,15,1.53
33958,2MASS J02340093-6442068,155,20,1.62
33959,2MASS J02411151-0326587 [de],152,27,1.41
33960,2MASS J02431371−2453298,35,33,0.99
33961,LP 771-21,53,78,1.08
33962,2MASS J02511327+0047364,,,
33963,2MASS J02535980+3206373,184,65,1.9
33964,WISE J0254+0223,24,65,1.9
33965,DEN 0255-4700,16.2,80,0.97
33966,2MASS J03185403-3421292 [de],45,49,0.97
33967,2MASS J03205965+1854233,47,88,1.15
33968,2MASS J03231002-4631237,192,23,1.66
33969,SDSS J032553.17+042540.1,59,45,0.95
33970,2MASS J03264225-2102057 [de],80,18,1.3
33971,2MASS J03284265+2302051 [de],98,54,0.98
33972,2MASS J03341218-4953322,27.0,73,1.04
33973,LP 944-20,20.9,73,1.43
33974,2MASP J0345432+254023,88,74,1.05
33975,Teide 1,380,55,3.78
33976,2MASS J03510004-0052452,48,102,1.27
33977,2MASS J03552337+1133437,29.8,20,1.32
33978,DENIS-P J035726.9-441730 [de],130,,
33979,2MASS J04151954−0935066,18.6,30,0.95
33980,SDSSp J042348.57-041403.5 [de],50,,
33981,2MASS J04285096-2253227 [de],85,80,1.09
33982,2MASS J04351612-1606574,34,100,1.26
33983,2MASS J04362788-4114465,142,39,1.97
33984,2MASS J04390101-2353083 [de],29.5,48,0.97
33985,2MASS J04414489+2301513,470,19,
33986,2MASS J04433764+0002040,82,22,1.78
33987,2MASS J04455387-3048204 [de],42,64,1.00
33988,2MASS J04510093-3402150 [de],69,72,1.04
33989,2MASS J05002100+0330501 [de],44,64,1.00
33990,2MASS J05012406-0010452 [de],64,21,1.38
33991,2MASS J05160945-0445499 [de],73,47,0.97
33992,2MASS J0523−1403,40,68,1.01
33993,2MASS 0532+8246,81,83,
33994,SDSS J053951.99-005902.0,41.62,61,1.01
33995,2MASS J05591914-1404488 [de],34,,
33996,LSR 0602+3910 [de],34.6,28,1.41
33997,2MASS J06085283-2753583,102,38,1.51
33998,WISEP J061135.13-041024.0A,69,65,
33999,WISEP J061135.13-041024.0B,69,53,
34000,2MASS J06244595-4521548 [de],39,56,0.99
34001,2MASS J06411840-4322329 [de],65,67,1.01
34002,DENIS-P J0652197-253450 [de],51,75,1.05
34003,2MASS J07003664+3157266 [de],40,,
34004,2MASS J07075327-4900503,60,72,1.03
34005,UGPS J072227.51-054031.2,13.4,26,0.98
34006,2MASSI J0727182+171001 [de],29.6,41,0.94
34007,2MASS J07290002-3954043 [de],25.8,37,0.94
34008,SDSS J074201.41+205520.5 [de],49,43,0.94
34009,2MASS J0746425+200032 [fr],49.6,,
34010,DENIS-P J0751164-253043 [de],55,71,1.03
34011,2MASS J07522390+1612157,60,68,2.01
34012,DENIS J081730.0-615520,16.1,44,0.94
34013,DENIS J082303.1−491201A,67,44,
34014,DENIS J082303.1−491201B,67,28,
34015,2MASS J08251968+2115521 [de],35,52,0.98
34016,SDSSp J083008.12+482847.4 [de],43,48,0.99
34017,LHS 2021,55,88,1.15
34018,SDSS J083048.80+012831.1 [de],77,46,0.96
34019,2MASSI J0835425-081923 [de],23.53,62,1.00
34020,2MASSI J0847287-153237 [de],43,64,1.00
34021,2MASS J08533619-0329321,27.6,77,1.07
34022,2MASSI J0859254-194926 [de],50,50,0.98
34023,2MASSW J0920122+351742 [de],95,,
34024,2MASSI J0937347+293142,20.0,42,0.94
34025,2MASS 0939−2448,17.4,32,0.95
34026,2MASS J09490860-1545485 [de],59,49,0.96
34027,2MASS J10073369-4555147,46,44,0.94
34028,2MASSI J1010148-040649 [de],55,51,0.98
34029,2MASSI J1017075+130839 [de],108,,
34030,SDSS J102109.69-030420.1,95,,
34031,2MASS J10224821+5825453 [de],60,27,1.41
34032,2MASSW J1036530-344138 [de],53,49,0.97
34033,2MASS J1047538+212423 [de],34.4,42,0.94
34034,Luhman 16B,6.516,43,1.02
34035,Luhman 16A,6.516,40,1.01
34036,DENIS-P J1058.7−1548,49,64,1.00
34037,TWA 28,180,36,2.39
34038,Cha 110913-773444,163,8,1.8
34039,OTS 44,554,15,
34040,SDSS J111010.01+011613.1,63,9,1.24
34041,2MASS J11145133−2618235,18.2,33,0.96
34042,TWA 26,137,30,2.20
34043,2MASSW J1146345+223053,89,,
34044,2MASS J11544223-3400390 [de],129,37,1.50
34045,2MASSW J1155395-372735 [de],31,64,1.00
34046,TWA 27A,,,
34047,TWA 27B,,,
34048,2MASS J12074836-3900043,217,17,1.71
34049,2MASSI J1217110-031113 [de],36,42,0.94
34050,2MASS J12255432-2739466,43,,
34051,DENIS-P J1228.2-1547,66,,
34052,2M 1237+6526,45.6,41,0.94
34053,2MASSW J1239272+551537 [de],119,,
34054,TWA 29,262,25,2.00
34055,SDSSp J125453.90-012247.4 [de],38,47,0.98
34056,Kelu-1A,61,63,0.98
34057,Kelu-1B,61,58,0.98
34058,2MASS J13204427+0409045,101,67,1.01
34059,SDSSp J132629.82-003831.5 [de],65,51,0.97
34060,SDSSp J134646.45-003150.4 [de],48,44,0.94
34061,2MASS J13595510-4034582,51,63,1.00
34062,ULAS J141623.94+134836.3,29.7,32,0.96
34063,SDSS J141659.78+500626.4 [de],149,59,0.99
34064,DENIS-P J142527.97-365023.4 [de],38,21,1.32
34065,LHS 2924,38.5,76,1.06
34066,2MASS J14392837+1929150,47,72,1.03
34067,LSPM J1440+1339,72,92,1.19
34068,2MASS J14482563+1031590 [de],47,59,0.99
34069,CFBDSIR 1458+10A,104,11.1,1.5
34070,CFBDSIR 1458+10B,104,9,1.3
34071,TVLM 513-46546,35.1,75,1.05
34072,2MASS 1503+2525,20.7,44,0.94
34073,CFBDS J150411+102717,71,44,0.94
34074,2MASSW J1506544+132106 [de],46,69,1.02
34075,2MASS 1507−1627,23.9,60,0.99
34076,TVLM 868-110639,53,79,1.08
34077,SDSS J151114.66+060742.9 [de],89,,
34078,2MASSW J1515008+484742 [de],34,57,0.99
34079,2MASSI J1526140+204341 [de],67,54,0.98
34080,DENIS-P J153941.96-052042.4 [de],51,63,1.00
34081,2MASS J15462718-3325111 [de],37,44,0.94
34082,2MASSW J1552591+294849 [de],68,30,1.43
34083,2MASSW J1555157-095605 [de],44,71,1.03
34084,2MASS J16150413+1340079 [de],48,42,0.94
34085,SDSSp J162414.37+002915.6 [de],36,43,0.94
34086,2MASS J16262034+3925190 [de],110,71,1.03
34087,2MASSW J1632291+190441 [de],50,49,0.97
34088,WISEPA J164715.59+563208.2,28,41,0.94
34089,LSPM J1658+7027 [de],60,73,1.04
34090,2MASSI J1726000+153819,114,24,1.40
34091,2MASSW J1728114+394859,79,,
34092,SDSSp J175032.96+175903.9,90,47,0.97
34093,2MASS J18283572-4849046,39,45,0.95
34094,LSR J1835+3259,18.5,77,1.07
34095,2MASSW J1841086+311727,138,67,1.01
34096,2MASS J18432213+4040209,46,96,1.22
34097,2MASS J20004841-7523070,105,25,1.88
34098,SDSS J204749.61-071818.3,65,46,0.96
34099,2MASSI J2057540-025230,47,70,1.02
34100,2MASSW J2101154+175658,108,,
34101,2MASSI J2104149-103736,62,69,1.02
34102,PSO J318.5−22,80,6.5,1.53
34103,HB 2124-4228,113,94,1.21
34104,2MASS J21392676+0220226,32.1,46,0.96
34105,2MASS J21481628+4003593,26.3,55,0.99
34106,2MASS J14112131-2119503,,,
34107,2MASSW J2206450-421721,93,22,1.33
34108,2MASSW J2208136+292121,154,27,1.41
34109,2MASSW J2224438-015852,38,61,0.99
34110,2MASS J22282889-4310262,35,42,0.94
34111,2MASS J22373255+3922398,64,73,1.04
34112,2MASSW J2244316+204343,56,12,1.29
34113,2MASS J23224684-3133231,56,24,1.39
34114,2MASS J23225299-6151275,148,17,1.59
34115,2MASS J23515044-2537367,67,88,1.16
34116,2MASSI J2356547-155310,74,80,1.09
34117,WISE 0005+3737,23.2,,
34118,WISE 0008-1739,87.1,,
34119,WISE 0015-4615,48.6,,
34120,WISE 0031-3840,71.8,,
34121,WISE 0032-4946,62.9,,
34122,WISE 0038+2758,36.9,,
34123,WISE 0038+8405,101.8,,
34124,WISE 0040+0900,47.6,,
34125,WISE 0049+0441,62.6,,
34126,WISE 0049+2151,24.1,,
34127,WISE 0106+1518,142.9,,
34128,WISE 0123+4142,67.2,,
34129,WISE 0135+1715,77.3,,
34130,WISE 0138-0322,57.7,,
34131,WISE 0146+4234,20.5,,
34132,WISE 0148-7202,30,,
34133,WISE 0150+3827,61.3,,
34134,WISE 0206+2640,58.4,,
34135,WISE 0221+3842,73.1,,
34136,WISE 0223-2932,47,,
34137,WISE 0226-0211,91,,
34138,WISE 0241-3653,53.8,,
34139,WISE 0245-3450,56.1,,
34140,WISE 0247+3725,57.1,,
34141,WISE 0305+3954,75,,
34142,WISE 0307+2904,82.8,,
34143,WISE 0313+7807,28,,
34144,WISE 0316+4307,106.3,,
34145,WISE 0321-7347,84.8,,
34146,WISE 0323-6025,45.3,,
34147,WISE 0325-3854,51.2,,
34148,WISE 0325+0831,36.5,,
34149,WISE 0333-5856,54.8,,
34150,WISE 0335+4310,45.7,,
34151,WISE 0336-0143,55.4,,
34152,WISE 0350-5658,17.7,,
34153,WISE 0359-5401,19.2,,
34154,WISE 0410+1502,20,6,1.17
34155,WISE 0410+1411,85.8,,
34156,WISE 0413-4750,66.2,,
34157,WISE 0448-1935,69.8,,
34158,WISE 0458+6434A,35.9,15,4.2
34159,WISE 0458+6434B,35.9,10,3.8
34160,WISE 0500-1223,47,,
34161,WISE 0513+0608,44.7,,
34162,WISE 0525+6739,98.2,,
34163,WISE 0528-3308,57.4,,
34164,WISE 0535-7500,47,,
34165,WISE 0539-1034,84.8,,
34166,WISE 0542-1628,50.6,,
34167,WISE 0607+2429,25.4,,
34168,WISE 0611-0410,57.7,,
34169,WISE 0612-4920,95.2,,
34170,WISE 0612-3036,64.9,,
34171,WISE 0614+3912,50.2,,
34172,WISE 0614+0951,51.5,,
34173,WISE 0623-0456,37.5,,
34174,WISE 0625+5646,67.2,,
34175,WISE 0627-1114,37.2,,
34176,WISE 0647-6232,28,,
34177,WISE 0656+4205,54.1,,
34178,WISE 0713-2917,23.2,,
34179,WISE 0723+3403,45.7,,
34180,WISE 0733+7544,78.3,,
34181,WISE 0734-7157,34.9,,
34182,WISE 0744+5628,47.3,,
34183,WISE 0750+2725,51.5,,
34184,WISE 0751-7634,39.1,,
34185,WISE 0759-4904,38.8,,
34186,WISE 0811-8051,32,,
34187,WISE 0812+4021,63.6,,
34188,WISE 0819-0335,46,,
34189,WISE 0821+1443,68.2,,
34190,WISE 0836-1859,72.4,,
34191,SDSS J000013.54+255418.6 [de],46.1,48,0.99
34192,2MASS J08283419-1309198,,,
34193,2MASS J00040288-6410358,192,19,1.63
34194,LHS 102BC,,,
34195,2MASS J00242463-0158201,37.7,79,1.09
34196,2MASS J00250365+4759191AB,143,,
34197,2MASS J00274197+0503417,236,31,1.44
34198,2MASS J00275592+2219328,46.9,,
34199,2MASSW J0030300-145033,87.2,54,0.98
34200,2MASS J00332386-1521309 [de],131,29,1.43
34201,2MASS J00345157+0523050,31,42,0.94
34202,2MASS 0036+1821,28.6,42,0.94
34203,2MASSW J0045214+163445,57,23,1.62
34204,WISEP J004701.06+680352.1 [fr],40,12,1.3
34205,2MASS J00501994-3322402 [de],34,40,0.94
34206,2MASS J00034227-2822410,,,
34207,2MASS J00584253-0651239 [de],96,29,1.43
34208,CFBDS J005910.90–011401.3,30,23,
34209,2MASSI J0103320+193536,70,52,0.98
34210,SDSSp J010752.33+004156.1 [de],51,52,0.98
34211,2MASSI J0117474-340325 [de],163,20,1.62
34212,2MASS J01415823-4633574 [de],130,20,1.61
34213,SDSS J015141.69+124429.6,70,47,0.97
34214,DENIS-P J020529.0−115925A,65,,
34215,DENIS-P J020529.0−115925B,65,,
34216,DENIS-P J020529.0−115925C,65,,
34217,SDSS J020742.48+000056.2 [de],111,47,0.97
34218,2MASS J02103857-3015313,101,15,1.53
34219,2MASS J02340093-6442068,155,20,1.62
34220,2MASS J02411151-0326587 [de],152,27,1.41
34221,2MASS J02431371−2453298,35,33,0.99
34222,LP 771-21,53,78,1.08
34223,2MASS J02511327+0047364,,,
34224,2MASS J02535980+3206373,184,65,1.9
34225,WISE J0254+0223,24,65,1.9
34226,DEN 0255-4700,16.2,80,0.97
34227,2MASS J03185403-3421292 [de],45,49,0.97
34228,2MASS J03205965+1854233,47,88,1.15
34229,2MASS J03231002-4631237,192,23,1.66
34230,SDSS J032553.17+042540.1,59,45,0.95
34231,2MASS J03264225-2102057 [de],80,18,1.3
34232,2MASS J03284265+2302051 [de],98,54,0.98
34233,2MASS J03341218-4953322,27.0,73,1.04
34234,LP 944-20,20.9,73,1.43
34235,2MASP J0345432+254023,88,74,1.05
34236,Teide 1,380,55,3.78
34237,2MASS J03510004-0052452,48,102,1.27
34238,2MASS J03552337+1133437,29.8,20,1.32
34239,DENIS-P J035726.9-441730 [de],130,,
34240,2MASS J04151954−0935066,18.6,30,0.95
34241,SDSSp J042348.57-041403.5 [de],50,,
34242,2MASS J04285096-2253227 [de],85,80,1.09
34243,2MASS J04351612-1606574,34,100,1.26
34244,2MASS J04362788-4114465,142,39,1.97
34245,2MASS J04390101-2353083 [de],29.5,48,0.97
34246,2MASS J04414489+2301513,470,19,
34247,2MASS J04433764+0002040,82,22,1.78
34248,2MASS J04455387-3048204 [de],42,64,1.00
34249,2MASS J04510093-3402150 [de],69,72,1.04
34250,2MASS J05002100+0330501 [de],44,64,1.00
34251,2MASS J05012406-0010452 [de],64,21,1.38
34252,2MASS J05160945-0445499 [de],73,47,0.97
34253,2MASS J0523−1403,40,68,1.01
34254,2MASS 0532+8246,81,83,
34255,SDSS J053951.99-005902.0,41.62,61,1.01
34256,2MASS J05591914-1404488 [de],34,,
34257,LSR 0602+3910 [de],34.6,28,1.41
34258,2MASS J06085283-2753583,102,38,1.51
34259,WISEP J061135.13-041024.0A,69,65,
34260,WISEP J061135.13-041024.0B,69,53,
34261,2MASS J06244595-4521548 [de],39,56,0.99
34262,2MASS J06411840-4322329 [de],65,67,1.01
34263,DENIS-P J0652197-253450 [de],51,75,1.05
34264,2MASS J07003664+3157266 [de],40,,
34265,2MASS J07075327-4900503,60,72,1.03
34266,UGPS J072227.51-054031.2,13.4,26,0.98
34267,2MASSI J0727182+171001 [de],29.6,41,0.94
34268,2MASS J07290002-3954043 [de],25.8,37,0.94
34269,SDSS J074201.41+205520.5 [de],49,43,0.94
34270,2MASS J0746425+200032 [fr],49.6,,
34271,DENIS-P J0751164-253043 [de],55,71,1.03
34272,2MASS J07522390+1612157,60,68,2.01
34273,DENIS J081730.0-615520,16.1,44,0.94
34274,DENIS J082303.1−491201A,67,44,
34275,DENIS J082303.1−491201B,67,28,
34276,2MASS J08251968+2115521 [de],35,52,0.98
34277,SDSSp J083008.12+482847.4 [de],43,48,0.99
34278,LHS 2021,55,88,1.15
34279,SDSS J083048.80+012831.1 [de],77,46,0.96
34280,2MASSI J0835425-081923 [de],23.53,62,1.00
34281,2MASSI J0847287-153237 [de],43,64,1.00
34282,2MASS J08533619-0329321,27.6,77,1.07
34283,2MASSI J0859254-194926 [de],50,50,0.98
34284,2MASSW J0920122+351742 [de],95,,
34285,2MASSI J0937347+293142,20.0,42,0.94
34286,2MASS 0939−2448,17.4,32,0.95
34287,2MASS J09490860-1545485 [de],59,49,0.96
34288,2MASS J10073369-4555147,46,44,0.94
34289,2MASSI J1010148-040649 [de],55,51,0.98
34290,2MASSI J1017075+130839 [de],108,,
34291,SDSS J102109.69-030420.1,95,,
34292,2MASS J10224821+5825453 [de],60,27,1.41
34293,2MASSW J1036530-344138 [de],53,49,0.97
34294,2MASS J1047538+212423 [de],34.4,42,0.94
34295,Luhman 16B,6.516,43,1.02
34296,Luhman 16A,6.516,40,1.01
34297,DENIS-P J1058.7−1548,49,64,1.00
34298,TWA 28,180,36,2.39
34299,Cha 110913-773444,163,8,1.8
34300,OTS 44,554,15,
34301,SDSS J111010.01+011613.1,63,9,1.24
34302,2MASS J11145133−2618235,18.2,33,0.96
34303,TWA 26,137,30,2.20
34304,2MASSW J1146345+223053,89,,
34305,2MASS J11544223-3400390 [de],129,37,1.50
34306,2MASSW J1155395-372735 [de],31,64,1.00
34307,TWA 27A,,,
34308,TWA 27B,,,
34309,2MASS J12074836-3900043,217,17,1.71
34310,2MASSI J1217110-031113 [de],36,42,0.94
34311,2MASS J12255432-2739466,43,,
34312,DENIS-P J1228.2-1547,66,,
34313,2M 1237+6526,45.6,41,0.94
34314,2MASSW J1239272+551537 [de],119,,
34315,TWA 29,262,25,2.00
34316,SDSSp J125453.90-012247.4 [de],38,47,0.98
34317,Kelu-1A,61,63,0.98
34318,Kelu-1B,61,58,0.98
34319,2MASS J13204427+0409045,101,67,1.01
34320,SDSSp J132629.82-003831.5 [de],65,51,0.97
34321,SDSSp J134646.45-003150.4 [de],48,44,0.94
34322,2MASS J13595510-4034582,51,63,1.00
34323,ULAS J141623.94+134836.3,29.7,32,0.96
34324,SDSS J141659.78+500626.4 [de],149,59,0.99
34325,DENIS-P J142527.97-365023.4 [de],38,21,1.32
34326,LHS 2924,38.5,76,1.06
34327,2MASS J14392837+1929150,47,72,1.03
34328,LSPM J1440+1339,72,92,1.19
34329,2MASS J14482563+1031590 [de],47,59,0.99
34330,CFBDSIR 1458+10A,104,11.1,1.5
34331,CFBDSIR 1458+10B,104,9,1.3
34332,TVLM 513-46546,35.1,75,1.05
34333,2MASS 1503+2525,20.7,44,0.94
34334,CFBDS J150411+102717,71,44,0.94
34335,2MASSW J1506544+132106 [de],46,69,1.02
34336,2MASS 1507−1627,23.9,60,0.99
34337,TVLM 868-110639,53,79,1.08
34338,SDSS J151114.66+060742.9 [de],89,,
34339,2MASSW J1515008+484742 [de],34,57,0.99
34340,2MASSI J1526140+204341 [de],67,54,0.98
34341,DENIS-P J153941.96-052042.4 [de],51,63,1.00
34342,2MASS J15462718-3325111 [de],37,44,0.94
34343,2MASSW J1552591+294849 [de],68,30,1.43
34344,2MASSW J1555157-095605 [de],44,71,1.03
34345,2MASS J16150413+1340079 [de],48,42,0.94
34346,SDSSp J162414.37+002915.6 [de],36,43,0.94
34347,2MASS J16262034+3925190 [de],110,71,1.03
34348,2MASSW J1632291+190441 [de],50,49,0.97
34349,WISEPA J164715.59+563208.2,28,41,0.94
34350,LSPM J1658+7027 [de],60,73,1.04
34351,2MASSI J1726000+153819,114,24,1.40
34352,2MASSW J1728114+394859,79,,
34353,SDSSp J175032.96+175903.9,90,47,0.97
34354,2MASS J18283572-4849046,39,45,0.95
34355,LSR J1835+3259,18.5,77,1.07
34356,2MASSW J1841086+311727,138,67,1.01
34357,2MASS J18432213+4040209,46,96,1.22
34358,2MASS J20004841-7523070,105,25,1.88
34359,SDSS J204749.61-071818.3,65,46,0.96
34360,2MASSI J2057540-025230,47,70,1.02
34361,2MASSW J2101154+175658,108,,
34362,2MASSI J2104149-103736,62,69,1.02
34363,PSO J318.5−22,80,6.5,1.53
34364,HB 2124-4228,113,94,1.21
34365,2MASS J21392676+0220226,32.1,46,0.96
34366,2MASS J21481628+4003593,26.3,55,0.99
34367,2MASS J14112131-2119503,,,
34368,2MASSW J2206450-421721,93,22,1.33
34369,2MASSW J2208136+292121,154,27,1.41
34370,2MASSW J2224438-015852,38,61,0.99
34371,2MASS J22282889-4310262,35,42,0.94
34372,2MASS J22373255+3922398,64,73,1.04
34373,2MASSW J2244316+204343,56,12,1.29
34374,2MASS J23224684-3133231,56,24,1.39
34375,2MASS J23225299-6151275,148,17,1.59
34376,2MASS J23515044-2537367,67,88,1.16
34377,2MASSI J2356547-155310,74,80,1.09
34378,WISE 0005+3737,23.2,,
34379,WISE 0008-1739,87.1,,
34380,WISE 0015-4615,48.6,,
34381,WISE 0031-3840,71.8,,
34382,WISE 0032-4946,62.9,,
34383,WISE 0038+2758,36.9,,
34384,WISE 0038+8405,101.8,,
34385,WISE 0040+0900,47.6,,
34386,WISE 0049+0441,62.6,,
34387,WISE 0049+2151,24.1,,
34388,WISE 0106+1518,142.9,,
34389,WISE 0123+4142,67.2,,
34390,WISE 0135+1715,77.3,,
34391,WISE 0138-0322,57.7,,
34392,WISE 0146+4234,20.5,,
34393,WISE 0148-7202,30,,
34394,WISE 0150+3827,61.3,,
34395,WISE 0206+2640,58.4,,
34396,WISE 0221+3842,73.1,,
34397,WISE 0223-2932,47,,
34398,WISE 0226-0211,91,,
34399,WISE 0241-3653,53.8,,
34400,WISE 0245-3450,56.1,,
34401,WISE 0247+3725,57.1,,
34402,WISE 0305+3954,75,,
34403,WISE 0307+2904,82.8,,
34404,WISE 0313+7807,28,,
34405,WISE 0316+4307,106.3,,
34406,WISE 0321-7347,84.8,,
34407,WISE 0323-6025,45.3,,
34408,WISE 0325-3854,51.2,,
34409,WISE 0325+0831,36.5,,
34410,WISE 0333-5856,54.8,,
34411,WISE 0335+4310,45.7,,
34412,WISE 0336-0143,55.4,,
34413,WISE 0350-5658,17.7,,
34414,WISE 0359-5401,19.2,,
34415,WISE 0410+1502,20,6,1.17
34416,WISE 0410+1411,85.8,,
34417,WISE 0413-4750,66.2,,
34418,WISE 0448-1935,69.8,,
34419,WISE 0458+6434A,35.9,15,4.2
34420,WISE 0458+6434B,35.9,10,3.8
34421,WISE 0500-1223,47,,
34422,WISE 0513+0608,44.7,,
34423,WISE 0525+6739,98.2,,
34424,WISE 0528-3308,57.4,,
34425,WISE 0535-7500,47,,
34426,WISE 0539-1034,84.8,,
34427,WISE 0542-1628,50.6,,
34428,WISE 0607+2429,25.4,,
34429,WISE 0611-0410,57.7,,
34430,WISE 0612-4920,95.2,,
34431,WISE 0612-3036,64.9,,
34432,WISE 0614+3912,50.2,,
34433,WISE 0614+0951,51.5,,
34434,WISE 0623-0456,37.5,,
34435,WISE 0625+5646,67.2,,
34436,WISE 0627-1114,37.2,,
34437,WISE 0647-6232,28,,
34438,WISE 0656+4205,54.1,,
34439,WISE 0713-2917,23.2,,
34440,WISE 0723+3403,45.7,,
34441,WISE 0733+7544,78.3,,
34442,WISE 0734-7157,34.9,,
34443,WISE 0744+5628,47.3,,
34444,WISE 0750+2725,51.5,,
34445,WISE 0751-7634,39.1,,
34446,WISE 0759-4904,38.8,,
34447,WISE 0811-8051,32,,
34448,WISE 0812+4021,63.6,,
34449,WISE 0819-0335,46,,
34450,WISE 0821+1443,68.2,,
34451,WISE 0836-1859,72.4,,
34452,WISE 0857+5604,42.1,,
34453,SDSS J000013.54+255418.6 [de],46.1,48,0.99
34454,2MASS J08283419-1309198,,,
